"Distance","mean","sd","max_val","max_att","min_val","min_att","Attributes"
"0.0","0.0","0.0","0.0","_-1.438976=*_class=2","0.0","_-1.438976=*_class=2","_-1.438976","2"
"0.0","0.0","0.0","0.0","_685.399400=*_class=2","0.0","_685.399400=*_class=2","_685.399400","2"
"0.0","0.0","0.0","0.0","_-4.847512=*_class=2","0.0","_-4.847512=*_class=2","_-4.847512","2"
"0.0","0.0","0.0","0.0","_3037.039000=*_class=2","0.0","_3037.039000=*_class=2","_3037.039000","2"
"0.0","0.0","0.0","0.0","_3.605537=*_class=2","0.0","_3.605537=*_class=2","_3.605537","2"
"0.0","0.0","0.0","0.0","_-3.082212=*_class=2","0.0","_-3.082212=*_class=2","_-3.082212","2"
"0.0","0.0","0.0","0.0","_1.868245=*_class=2","0.0","_1.868245=*_class=2","_1.868245","2"
"0.0","0.0","0.0","0.0","_0.218904=*_class=2","0.0","_0.218904=*_class=2","_0.218904","2"
"0.0","0.0","0.0","0.0","_0.806830=*_class=2","0.0","_0.806830=*_class=2","_0.806830","2"
"0.0","0.0","0.0","0.0","_2.949381=*_class=2","0.0","_2.949381=*_class=2","_2.949381","2"
"0.0","0.0","0.0","0.0","_-0.204467=*_class=2","0.0","_-0.204467=*_class=2","_-0.204467","2"
"0.0","0.0","0.0","0.0","_2.006883=*_class=2","0.0","_2.006883=*_class=2","_2.006883","2"
"0.0","0.0","0.0","0.0","_-2.658358=*_class=2","0.0","_-2.658358=*_class=2","_-2.658358","2"
"0.0","0.0","0.0","0.0","_0.580818=*_class=2","0.0","_0.580818=*_class=2","_0.580818","2"
"0.0","0.0","0.0","0.0","_0.152483=*_class=2","0.0","_0.152483=*_class=2","_0.152483","2"
"0.0","0.0","0.0","0.0","_5.695234=*_class=2","0.0","_5.695234=*_class=2","_5.695234","2"
"0.0","0.0","0.0","0.0","_1.445783=*_class=2","0.0","_1.445783=*_class=2","_1.445783","2"
"0.0","0.0","0.0","0.0","_2.057165=*_class=2","0.0","_2.057165=*_class=2","_2.057165","2"
"0.0","0.0","0.0","0.0","_0.649457=*_class=2","0.0","_0.649457=*_class=2","_0.649457","2"
"0.0","0.0","0.0","0.0","_0.532422=*_class=2","0.0","_0.532422=*_class=2","_0.532422","2"
